Nom,Type,Latitude,Longitude,Superficie_m2
Parc Municipal,park,3962539.8941896237,788329.9256621256,37230.67124434011
,pitch,3962568.75883481,789624.8087157343,2052.619503037864
,pitch,3961593.0117503777,790242.2812950962,571.1206743891523
,pitch,3961660.9209331847,790170.4239441886,1147.5695271949417
,pitch,3961592.293479662,790209.4828354844,1103.7970484764746
,pitch,3961603.5155100846,790285.9702052361,579.8995410346868
,pitch,3961625.991342244,790188.1082344744,1128.4831851618783
,pitch,3961670.617321789,790214.5344767463,1190.4809401308553
,pitch,3961627.5078501003,790247.0997621962,1128.2942893958932
,park,3963929.710889244,787513.2847089225,2643.6920278372154
,,3959718.770294134,794598.7014533248,90481.68429069784
,park,3958389.8452640427,781785.0899597827,51030.82315689669
,park,3963128.0830565137,787319.919826819,3764.945175169556
,park,3960305.5369408377,788567.6959784853,2380.93575924926
,park,3959946.3083407595,788219.5761149836,11746.48948137111
,,3960350.8015231136,787411.7885802775,21764.977652229507
,pitch,3959235.9884206215,787178.8036904908,7461.887050853464
,pitch,3960186.0077543086,787342.5614814718,982.5413273443057
,pitch,3960210.1708856695,787339.8977965137,1017.3353553821057
,,3959894.142109554,787661.5628933535,14438.031434882527
,,3960174.1073173843,788055.9925442782,1710.5403530654316
,,3959869.300662024,788450.1222261628,10584.480903458167
,,3959472.9115280416,787423.7486480422,1334.4831600908362
,park,3960430.6426517814,789314.2339035477,6209.220792013987
,park,3963930.3666614876,787564.7411132359,3893.262528726656
,,3960631.3831009353,796010.7765138319,404190.5446874647
Ancienne Gare Routiere de Tanger(ferme),park,3963271.8472390654,789091.8067089537,13190.101040586984
Riad Tétouan,park,3963196.3015070055,789201.9339835466,23832.05751135414
,pitch,3965224.879856822,787741.7349244965,619.6245884812889
,pitch,3962941.4816218475,788296.9178789967,581.8214194566165
,pitch,3962943.537892359,788267.2315737396,824.0721585492317
,pitch,3962917.371259717,788229.5978904048,851.3884170638605
,pitch,3962879.285606279,788227.434546767,750.072344550028
,pitch,3962874.831177623,788262.0587899392,728.5671813614017
,pitch,3962923.346222945,788208.8523711672,801.342338743267
,pitch,3962886.8599502523,788206.7802914855,741.7470871801881
,park,3961929.3321253397,787127.3894712195,16722.902212129135
,,3962830.707751852,787966.5667817759,1162.9638378044576
,pitch,3961932.072336569,787491.7271623308,1391.4884728243314
,pitch,3961594.659226215,786399.1415291092,4127.4246037783005
,park,3961236.807730899,786426.3054565935,14826.827980943981
Place de la Ligue Arabe,,3963135.1344322558,788982.9073607532,3119.1198408113646
,park,3963475.4315504916,789094.4982331245,373.00262059679625
,pitch,3961881.6650047717,785269.8803944717,1167.3516893486737
,pitch,3959676.8738004337,784578.4154283219,9655.842370661288
