Zone,Type,Latitude,Longitude,Superficie_m2
,,3962566.737974368,789625.0393714391,3555.2374849663497
,,3965262.610644942,787652.970361121,595.7143316187974
,,3959794.7303542206,784142.1271418026,30870.35564847261
,,3963804.7825076785,788155.4413919266,1852.6131400670731
,,3959174.6078491826,780735.51526723,1251.9721458499878
,,3964879.6803493313,788372.6573177862,1596.7676636787264
,,3965175.6684611863,788087.9087818823,2450.798875472746
,,3959439.6815206637,784008.5684472958,3385.7636282924022
,residential,3961625.635403101,786704.383181395,45793284.86938841
,,3957714.176124931,788950.2067500196,11716.22602586074
,,3960047.4238344827,785456.3698004235,2168.879909895479
,,3959763.253227119,791452.6683584076,9054.249348597816
,,3959658.898874716,792116.3125170416,3639.213357839369
,,3959961.2044407027,791144.2864705087,11249.229213048962
,,3960228.855741194,791166.4880400231,4786.945357271186
,,3960268.414443362,791109.2072412812,7234.352803724661
,,3959812.70388713,784996.666507712,21629.553477822818
,,3968315.000277102,794610.5165853781,443.0826055355241
Sidi Bouâarakia,,3964622.5972222937,787574.7825579089,1665.697015137478
Tribunal du Commerce,,3964774.125840561,787983.4727737743,1089.7531296532013
,,3964261.5838304423,787244.3414046302,8465.829796822432
,,3964309.112618549,787343.9990991304,2174.722513313382
,,3963705.4494919996,787161.470940188,1289.664566357499
Consultat Général d'Espagne,,3964203.71619179,787091.5065042009,943.9532129347535
,,3964325.014770126,787485.2787482387,6670.830993782158
,,3964463.9448504993,788025.0838756155,1556.7770576032788
,,3964446.5374137294,787995.7072661325,407.2132642301463
,,3959576.1034722687,783293.7157841247,1672.2152590338515
,,3959640.664056524,783318.8873768605,1648.1833735455675
,,3959492.4261779967,783238.3464524337,1691.700851529212
,,3959724.9218242997,783309.7641041809,1592.93053876849
,,3959736.8050612384,783273.9929681804,1592.7496815510171
,,3959529.1111068986,783252.7122408996,1691.4947667863594
,,3959708.6828370714,783345.28685452,1724.9027180686605
,,3959443.885949518,783219.2350486981,1669.6442424267066
,,3959780.5190099995,783259.5479164986,449.002298191704
,,3959447.335633416,783295.5408034206,1560.2851915011436
,,3959589.091678214,783254.206411795,1694.943541649817
,,3959740.4980752845,783400.9418438443,599.0516986605425
,,3959654.7923247353,783281.4563507652,1515.7268099079372
Station de train Tanger Ville - Al Boraq,,3963325.714593293,790542.8416082121,13249.8451171175
,,3963321.453462981,786519.3475164005,1726.3871782662059
,,3963391.6533547263,786509.0375252417,1207.884044265267
,,3963440.863599533,786534.371771621,1183.5746556764332
,,3963333.810749789,786477.695159377,1469.7229102424392
,,3963434.592947672,786491.9330342398,2656.6858131375284
,,3963395.632108456,786555.6288603306,1529.840293549831
,,3960987.506161162,790351.2809886127,1025.2337539863752
,,3963442.8636257546,789052.1993415009,803.5761554770189
,,3963433.717890445,789015.5763894707,1226.8821740806006
,,3963479.7461688686,789049.9055186334,897.4183223737032
,,3963478.2274138164,789013.0291341748,980.7555331864446
,,3963311.742401194,789181.8958191808,4933.590853966927
,commercial,3961640.1312784557,785316.6686166109,22462.382321471385
,industrial,3959967.140639874,791256.9377746951,1295865.4141452136
,residential,3969348.021414966,796063.9498944578,32853.1188251521
,residential,3967155.583456139,794200.2570941797,81900.04501061117
,,3960383.5081551117,785324.4298331239,17464.924533797835
Zone Franche de Tanger,industrial,3957251.035820486,778287.4771874069,1066.573759860944
,,3959402.7783342577,782690.4688337564,7118.005962489345
Aluminium du maroc,,3959386.5792710325,791915.4223588639,22803.2757391519
,,3959487.705995698,792273.0677475814,41808.92446566971
,,3959766.9839907913,791643.2880597581,19633.6538062636
,,3959699.381607505,791992.5438624618,10284.576899659918
,,3960158.3343048594,791305.3967062352,7892.671209397928
,,3960123.5441078134,791392.297582472,7404.281787906996
,,3959547.8131127395,791953.4797527904,18034.778016358036
,,3959443.459392339,791642.1403444018,5399.195110207284
,,3960175.066099401,791238.2116103459,3072.828739172691
,,3960194.419957087,790808.0102600224,9383.146589206195
,,3960160.780051704,791079.6824246611,10271.703699097912
,,3959569.198423499,791746.9385414467,8775.53098356227
,,3960051.062651559,790781.5086719237,25275.858045690613
,,3960125.5910492246,790894.5670725922,5661.18970054346
,,3958079.688398965,779886.1921333949,22.937535931683655
,,3958018.983752713,779039.8770256082,932.0832615650856
,,3957967.4212847045,779374.3531827304,12121.599793733554
,,3957945.4572209525,779211.5025480712,6911.122060807262
,,3957790.9118321976,779551.2287418535,226.59736625065014
,,3958169.425467756,779130.858895908,921.098953511145
,,3958076.8960516644,779853.149871821,61.627527133950785
,,3958723.777205016,776470.5957617209,39.845562767686204
,,3958026.1452911366,776512.0275540043,56.53500726419522
,,3957899.1035004556,779498.5997437456,672.7952163420595
,,3958086.2313647494,776364.4884708005,273.80769967668147
,,3957853.3457632293,779521.0110293332,374.85628298713027
,,3958172.9730444737,779902.5793458226,267.32954467157157
Mosquée Al-kantara,,3961837.7972495235,787343.8578246059,833.5166947197158
,,3961808.3397071674,787565.5968252979,145.11104991937282
,,3961803.3751600366,787556.1198561572,148.64437256575965
,,3961600.86201765,787509.2857545071,148.51581661830377
,,3961604.0167370997,787520.7027633678,181.41270931744617
,,3961597.9666664284,787498.9160369167,151.0124052158317
Mosquée Al-7ofra,,3962342.701004468,786796.265238903,720.8243932356793
Mosquée Al-azhar,,3962001.26443573,787004.3076994186,2461.1074257213904
,,3964060.4908082015,788641.4080221701,1249.4286980970173
,,3963606.432771964,788305.1230440986,487.32785621115414
,,3963677.9922414916,788235.2184382161,239.2398475796868
,,3963655.214259388,788308.8919549027,876.6753862250084
,,3963594.703459764,788292.2848944002,106.24203433996058
,,3963678.26352821,788209.9821820562,36.42694915542215
,,3963604.4712216267,788268.941552442,259.5955230765707
,,3963655.1164192175,788229.0248600936,88.54227726921263
,,3963632.245180192,788288.9745315559,493.67683547220656
,,3963662.2087882846,788240.7243925852,55.772721516359226
,,3963607.623984083,788224.8456445216,235.2882664630292
,,3963668.87315727,788217.5977844233,110.56728558046369
,,3963584.1657905066,788278.2497767813,171.93699968018794
,,3963667.3982919096,788248.5768449521,77.58854578279087
,,3963690.1966884984,788347.9743667961,310.4485056559176
,,3963677.918591309,788263.3018837546,314.92566476510314
,,3963589.1147993323,788286.2004021637,97.20596767722807
,,3963657.934889721,788260.1521516532,75.51633843027079
,,3963697.6116184574,788223.23254326,127.74037293972599
,,3963632.204612812,788245.1084561482,309.84451396087036
,,3963694.6340416307,788252.8789325374,318.8404401641106
,,3963697.7104225005,788235.3749370786,147.62894837305117
,,3963623.6784600182,788330.8328945612,450.9884609484421
,,3963692.303169851,788381.370435094,655.8447483059952
,,3963698.5700981207,788207.0687422077,277.7911992918154
,,3964400.126463503,788321.7458466359,569.3815538771221
,,3964644.955225261,788452.9978967176,310.96204652276975
,,3964578.627711185,788317.4155355637,40.84869434934298
,,3964572.513071833,788341.4098057102,193.01754820654776
,,3964571.145764889,788397.7701609412,294.6592586812891
,,3964594.8118744334,788282.1581799248,400.5595897007224
,,3964699.3442597524,788453.1317889567,270.1452543558387
,,3964562.9821796245,788463.0689849338,117.99256142392488
,,3964356.53111799,788258.7980336165,169.33588541209315
,,3964583.9133253032,788306.4628319895,102.44771161632809
,,3964562.13819398,788452.6810693401,43.62719551412101
,,3964623.832060992,788455.83681286,154.11606305001905
